"Brussels Airlines","Cashback Brussels Airlines",566,"http://tracking.publicidees.com/clic.php?promoid=12627&progid=566&partid=29897&cb={userid}","Jusqu'à 3,00€","3,00 € par achat pour les autres
0,75 € par achat vols européens au départ de Bruxelles","merc70",0,3
"Direct Assurance Auto","Cashback Direct Assurance Auto",1900,"http://tracking.publicidees.com/clic.php?promoid=46810&progid=1900&partid=29897&cb={userid}","14,00€","14,00€ par souscription Auto","merc71",0,14
"Wataro","Cashback Wataro",1460,"http://tracking.publicidees.com/clic.php?promoid=33722&progid=1460&partid=29897&cb={userid}","12,50€","12,50€ par souscription payante","merc72",0,12
"Direct Energie","Cashback Direct Energie",579,"http://tracking.publicidees.com/clic.php?promoid=11409&progid=579&partid=29897&cb={userid}","1.0%","1,00% par achat (e-boutique)","merc73",1,1
"Abonnement Libre","Cashback Abonnement Libre",987,"http://tracking.publicidees.com/clic.php?promoid=25130&progid=987&partid=29897&cb={userid}","4,00€","4,00€ par Abonnement","merc74",0,4
"Parc Astérix","Cashback Parc Astérix",1489,"http://tracking.publicidees.com/clic.php?promoid=34783&progid=1489&partid=29897&cb={userid}","Jusqu'à 4,00€","4,00 € par achat (séjours)
2,00 € par achat (billets)","merc75",0,4
"Daniel Jouvance","Cashback Daniel Jouvance",925,"http://tracking.publicidees.com/clic.php?promoid=54119&progid=925&partid=29897&cb={userid}","Jusqu'à 3,50€","3,50 € par achat (Nouveau client)
2,00 € par achat (Ancien client)","merc76",0,3
"Futuroscope","Cashback Futuroscope",1517,"http://tracking.publicidees.com/clic.php?promoid=50565&progid=1517&partid=29897&cb={userid}","Jusqu'à 4,00€","4,00 € par achat (séjours)
2,00 € par achat (billets)","merc77",0,4
"wataro","Cashback Budget Mobile",1890,"http://tracking.publicidees.com/clic.php?promoid=45518&progid=1890&partid=29897&cb={userid}","Jusqu'à 10,00€","6,00 € par achat (Forfait 2h-4h)
10,00 € par achat (Forfait No Limit)
2,50 € par achat (Forfait 30 mins)","merc78",0,10
"Fleurance Nature","Cashback Fleurance Nature",2493,"http://tracking.publicidees.com/clic.php?promoid=65290&progid=2493&partid=29897&cb={userid}","Jusqu'à 6,00€","6,00 € par achat (Nouveau client)
2,00 € par achat (Ancien client)","merc79",0,6
"HRS","Cashback HRS",326,"http://tracking.publicidees.com/clic.php?promoid=50573&progid=326&partid=29897&cb={userid}",3.50%,"3.5% par achat","merc80",1,3
"zooplus.fr","Cashback zooplus",1186,"http://tracking.publicidees.com/clic.php?promoid=56715&progid=1186&partid=29897&cb={userid}",2.50%,"2.5% par achat","merc81",1,2
"123fleurs","Cashback 123fleurs",270,"http://tracking.publicidees.com/clic.php?promoid=3346&progid=270&partid=29897&cb={userid}",5.00%,"5% par achat","merc82",1,5
"Sixt","Cashback Sixt",1398,"http://tracking.publicidees.com/clic.php?promoid=33754&progid=1398&partid=29897&cb={userid}",3.00%,"3% par achat","merc83",1,3
