Electronic-boulevard,Cashback Electronic-boulevard,8259,http://action.metaffiliation.com/suivi.php?mclic=S4204344DAA163&argsite={userid},3.5%,"3,5% par achat",merc123,1,3.5
Ella Baché,Cashback Ella Baché,20159,http://action.metaffiliation.com/suivi.php?mclic=S44F4744DAA111&argsite={userid},4%,4% par achat,merc124,1,4
Espace Libido,Cashback Espace Libido,29973,http://action.metaffiliation.com/suivi.php?mclic=S4751544DAA1A1&argsite={userid},8%,8% par achat,merc125,1,8
Esprit pendentif,Cashback Esprit pendentif,7503,http://action.metaffiliation.com/suivi.php?mclic=S41D4F44DAA121&argsite={userid},4%,4% par achat,merc126,1,4
ESTEBAN Parfums,Cashback ESTEBAN Parfums,13515,http://action.metaffiliation.com/suivi.php?mclic=S434CB44DAA2112&argsite={userid},2.5%,"2,5% par achat",merc127,1,2.5
Etrouvetout,Cashback Etrouvetout,885,http://action.metaffiliation.com/suivi.php?mclic=S337544DAA121&argsite={userid},1.5%,"1,5% par achat",merc128,1,1.5
Ethicolours,Cashback Ethicolours,8699,http://action.metaffiliation.com/suivi.php?mclic=S421FB44DAA151&argsite={userid},5%,5% par achat,merc129,1,5
Eurekakids FR,Cashback Eurekakids FR,3025,http://action.metaffiliation.com/suivi.php?mclic=S3BD144DAA112&argsite={userid},6%,6% par achat,merc130,1,6
Eurpile,Cashback Eurpile,4286,http://action.metaffiliation.com/suivi.php?mclic=S410BE44DAA111&argsite={userid},4.5%,"4,5% par achat",merc131,1,4.5
Famille Mary,Cashback Famille Mary,4560,http://action.metaffiliation.com/suivi.php?mclic=S411D044DAA191&argsite={userid},4%,4% par achat,merc132,1,4
Fanny chaussures,Cashback Fanny chaussures,20155,http://action.metaffiliation.com/suivi.php?mclic=S44EBB44DAA151&argsite={userid},4%,4%  par achat,merc133,1,4
Fashion Shopping,Cashback Fashion Shopping,27129,http://action.metaffiliation.com/suivi.php?mclic=S469F944DAA161&argsite={userid},5.5%,"5,5% par achat",merc135,1,5.5
