"Surcouf","Cashback Surcouf",3079,"http://ad.zanox.com/ppc/?23051676C1071403487T&zpar0=[[{userid}]]","Jusqu'à 2%","2% sur Culture&Loisirs
1.5% sur Mobilite, peripherique
1% sur informatique, HiFi Video","merc58",1,2
"Dorothy Perkins","Cashback Dorothy Perkins",10795,"http://ad.zanox.com/ppc/?23050833C1616617569T&zpar0=[[{userid}]]","3,5%","3.5% par achat","merc59",1,3
"Ledhut","Cashback Ledhut",11982,"http://ad.zanox.com/ppc/?23051011C1977020664T&zpar0=[[{userid}]]","5,00%","5% par achat","merc60",1,5
"Superdry","Cashback Superdry",12163,"http://ad.zanox.com/ppc/?23051040C291121492T&zpar0=[[{userid}]]","3,00%","3% par achat","merc61",1,3
"Wallis","Cashback Wallis",10793,"http://ad.zanox.com/ppc/?23051154C460954474T&zpar0=[[{userid}]]","3,5%","3.5% par achat","merc62",1,3
"Love 2 Recycle","Cashback Love 2 Recycle",12052,"http://ad.zanox.com/ppc/?23050753C1042850603T&zpar0=[[{userid}]]","Jusqu'à 3.5€","2.25€ sur Montant transaction inf. ou égal. à 50€
3.5€ sur Montant transaction supérieure à 50€","merc63",0,3
"Edenly","Cashback Edenly",6527,"http://ad.zanox.com/ppc/?23051939C1338121191T&zpar0=[[{userid}]]","0,5%","0.5% par achat","merc64",1,0
"HRS.com","Cashback HRS.com",10578,"http://ad.zanox.com/ppc/?23052021C665637392T&zpar0=[[{userid}]]","2,5%","2.5% par achat","merc65",1,2
"hotel.info France","Cashback hotel.info France",3285,"http://ad.zanox.com/ppc/?23051263C311379361T&zpar0=[[{userid}]]","2,75%","2.75% par achat","merc66",1,2
"Topman","Cashback Topman",10429,"http://ad.zanox.com/ppc/?23051971C892589741T&zpar0=[[{userid}]]","3,5%","3.5% par achat","merc67",1,3
"Stylistpick","Cashback Stylistpick",11840,"http://ad.zanox.com/ppc/?23050379C366923939T&zpar0=[[{userid}]]","4,00%","4% par achat","merc68",1,4
"posterXXL","Cashback posterXXL",6882,"http://ad.zanox.com/ppc/?23052097C1331967518T&zpar0=[[{userid}]]","5,00%","5% par achat","merc69",1,5
"Lekiosk","Cashback Lekiosk",12084,"http://ad.zanox.com/ppc/?23052175C1131044806T&zpar0=[[{userid}]]"," 3€"," 3€ par achat","merc70",0,3
"MEDION","Cashback MEDION",9588,"http://ad.zanox.com/ppc/?23055427C550970641T&zpar0=[[{userid}]]","2,00%","2% par achat","merc71",1,2
"Bata","Cashback Bata",3053,"http://ad.zanox.com/ppc/?23051227C949271235T&zpar0=[[{userid}]]","Jusqu'à 5%","5% sur les Chaussures
4% sur le Textile-Maroquinerie","merc72",1,5
"LaFraise","Cashback LaFraise",6146,"http://ad.zanox.com/ppc/?23054154C330597198T&zpar0=[[{userid}]]","10,00%","10% par achat","merc73",1,10
"Armand Thiery","Cashback Armand Thiery",12061,"http://ad.zanox.com/ppc/?23052057C1918890323T&zpar0=[[{userid}]]","Jusqu'à 6%","4% sur ARMAND THIERY
6% sur  TOSCANE BOUTIQUE","merc74",1,6
"Navteq Navigation","Cashback Navteq Navigation",5207,"http://ad.zanox.com/ppc/?23054028C1841900434T&zpar0=[[{userid}]]","3,5%","3.5% par achat","merc75",1,3
"SIXT","Cashback SIXT",794,"http://ad.zanox.com/ppc/?23054135C640726955T&zpar0=[[{userid}]]","3,00%","3% par achat","merc76",1,3
"Jouet Discount","Cashback Jouet Discount",3110,"http://ad.zanox.com/ppc/?23052409C240946858T&zpar0=[[{userid}]]","2,5%","2.5% par achat","merc77",1,2
"BimboMarket","Cashback BimboMarket",7241,"http://ad.zanox.com/ppc/?23054114C1669654125T&zpar0=[[{userid}]]","2,00%","2% par achat","merc78",1,2
"Tauriworld Global","Cashback Tauriworld Global",11434,"http://ad.zanox.com/ppc/?23052327C648379769T&zpar0=[[{userid}]]","15,00%","15% par achat","merc79",1,15
"Aquarelle Gourmand","Cashback Aquarelle Gourmand",2181,"http://ad.zanox.com/ppc/?23054142C1662077611T&zpar0=[[{userid}]]"," 3.5€"," 3.5€ par achat","merc80",0,3
"Otelcom_Global","Cashback Otelcom_Global",10544,"http://ad.zanox.com/ppc/?23052224C2059080990T&zpar0=[[{userid}]]","3,00%","3% par achat","merc81",1,3
"coolcadeau","Cashback coolcadeau",6470,"http://ad.zanox.com/ppc/?23053992C1557001058T&zpar0=[[{userid}]]","7,5%","7.5% par achat","merc82",1,7
"Forzieri","Cashback Forzieri",6089,"http://ad.zanox.com/ppc/?23052423C1492918209T&zpar0=[[{userid}]]","4,00%","4% par achat","merc83",1,4
"Newbabyland","Cashback Newbabyland",7616,"http://ad.zanox.com/ppc/?23052464C820172489T&zpar0=[[{userid}]]","3,00%","3% par achat","merc84",1,3
"Rebtel Europe","Cashback Rebtel Europe",4551,"http://ad.zanox.com/ppc/?23052513C1340788733T&zpar0=[[{userid}]]"," 10€"," 10€ par achat","merc85",0,10
"my-wardrobe.com","Cashback my-wardrobe.com",9013,"http://ad.zanox.com/ppc/?23054128C1508377811T&zpar0=[[{userid}]]","4,00%","4% par achat","merc86",1,4
"mydays","Cashback mydays",5096,"http://ad.zanox.com/ppc/?23054117C833740267T&zpar0=[[{userid}]]","5,5%","5.5% par achat","merc87",1,5
"Miss Selfridge","Cashback Miss Selfridge",10794,"http://ad.zanox.com/ppc/?23054011C648136654T&zpar0=[[{userid}]]","3,75%","3.75% par achat","merc88",1,3
"MandMDirect","Cashback MandMDirect",10301,"http://ad.zanox.com/ppc/?23052261C338097646T&zpar0=[[{userid}]]","4,00%","4% par achat","merc89",1,4
"Accessorize","Cashback Accessorize",10844,"http://ad.zanox.com/ppc/?23053954C548456370T&zpar0=[[{userid}]]","5,00%","5% par achat","merc90",1,5
"Tendea","Cashback Tendea EU",9810,"http://ad.zanox.com/ppc/?23053928C494169361T&zpar0=[[{userid}]]","10,00%","10% par achat","merc91",1,5
"BudgetPlaces","Cashback BudgetPlaces",10071,"http://ad.zanox.com/ppc/?23053850C791415127T&zpar0=[[{userid}]]","13,5%","13.5% par achat","merc92",1,13
"123piecesderechange.fr","Cashback 123piecesderechange.fr",10277,"http://ad.zanox.com/ppc/?23053911C2031472738T&zpar0=[[{userid}]]","5,00%","5% par achat","merc93",1,5
"elegance","Cashback elegance",3969,"http://ad.zanox.com/ppc/?23053945C1402373650T&zpar0=[[{userid}]]","3,5%","3.5% par achat","merc94",1,3
"Dell","Cashback Dell",9304,"http://ad.zanox.com/ppc/?23053883C899060874T&zpar0=[[{userid}]]","2,00%","2% par achat","merc95",1,2
"Toscane-Boutique","Cashback Toscane-Boutique",12372,"http://ad.zanox.com/ppc/?23053898C227442482T&zpar0=[[{userid}]]","6,00%","6% par achat","merc96",1,6
"Monsoon","Cashback Monsoon",11597,"http://ad.zanox.com/ppc/?23053970C2043571262T&zpar0=[[{userid}]]","5,00%","5% par achat","merc97",1,5
"Sunglasses Shop","Cashback Sunglasses Shop",10187,"http://ad.zanox.com/ppc/?23053782C1811769459T&zpar0=[[{userid}]]","2,5%","2.5% par achat","merc98",1,2
"Bakker","Cashback Bakker",4890,"http://ad.zanox.com/ppc/?23053866C1478126271T&zpar0=[[{userid}]]","5,5%","5.5% par achat","merc99",1,5
"pneus-moto.fr","Cashback pneus-moto.fr",3033,"http://ad.zanox.com/ppc/?23053765C1745995926T&zpar0=[[{userid}]]","1,5%","1.5% par achat","merc100",1,1
"Firetrap","Cashback Firetrap",10552,"http://ad.zanox.com/ppc/?23053756C576262855T&zpar0=[[{userid}]]","4,00%","4% par achat","merc101",1,4
"FerrariStore","Cashback FerrariStore",5815,"http://ad.zanox.com/ppc/?23053747C1121249312T&zpar0=[[{userid}]]","3,00%","3% par achat","merc102",1,3
"Khan Wars GLOBAL","Cashback Khan Wars GLOBAL",11208,"http://ad.zanox.com/ppc/?23053605C1720274471T&zpar0=[[{userid}]]","35,00%","35% par achat","merc103",1,35
"Strato","Cashback Strato",1867,"http://ad.zanox.com/ppc/?23053576C1399839740T&zpar0=[[{userid}]]","Jusqu'à 40€","3€ sur STRATO Hébergement BasicWeb
28€ sur STRATO Hébergement EnterpriseWeb
15€ sur STRATO Hébergement AdvancedWeb
1€ sur STRATO Hébergement MailDomain
9€ sur STRATO Hébergement PowerWeb
10€ sur STRATO Webshops BasicShop
30€ sur STRATO Webshops AdvancedSh","merc104",0,40
"Alpin Resorts","Cashback Alpin Resorts",10710,"http://ad.zanox.com/ppc/?23053774C79997173T&zpar0=[[{userid}]]","2,5%","2.5% par achat","merc105",1,2
"LTUR","Cashback LTUR",11778,"http://ad.zanox.com/ppc/?23053715C266144846T&zpar0=[[{userid}]]","2,00%","2.75€ sur les vol
2% sur les autres","merc106",1,2
"S.T.Dupont","Cashback S.T.Dupont",6849,"http://ad.zanox.com/ppc/?23053693C359852890T&zpar0=[[{userid}]]","3,5%","3.5% par achat","merc107",1,3
"Hotelopia","Cashback Hotelopia",1772,"http://ad.zanox.com/ppc/?23053632C1002149641T&zpar0=[[{userid}]]","6€","6€ par achat","merc108",0,6
"C-date","Cashback C-date",7678,"http://ad.zanox.com/ppc/?23053624C1233993276T&zpar0=[[{userid}]]","35,00%","35% par achat","merc109",1,35
"Lentilles moins chères","Cashback Lentilles moins chères Code PromoLentilles moins chères","24019","http://action.metaffiliation.com/suivi.php?mclic=S45DD344DAA171&argsite={{userid}}","Jusqu'à 4€","1€ anciens clients/4€ nouveaux clients","merc110",0,4
"Disney store","Cashback Disney store Code PromoDisney store","25993","http://action.metaffiliation.com/suivi.php?mclic=S4658944DAA131&argsite={{userid}}","2.5%","2.5% par achat","merc111",1,2
"Wanimo","Cashback Wanimo Code Promo Wanimo","3322","http://action.metaffiliation.com/suivi.php?mclic=S3CFA44DAA141&argsite={{userid}}","4.5%","4.5% par achat","merc112",1,4
"Spa villa Thalgo","Cashback Spa villa Thalgo Code Promo Spa villa Thalgo","15781","http://action.metaffiliation.com/suivi.php?mclic=S43DA544DAA131&argsite={{userid}}","3.5%","3.5% par achat","merc113",1,3
"Electrostop","Cashback Electrostop Code Promo Electrostop","2485","http://action.metaffiliation.com/suivi.php?mclic=S39B544DAA112&argsite={{userid}}","1.5%","1.5% par achat","merc114",1,1
"Redcoon","Cashback Redcoon Code Promo Redcoon","18011","http://action.metaffiliation.com/suivi.php?mclic=S4465B44DAA141&argsite={{userid}}","1%","1% par achat","merc115",1,1
"Patagonia","Cashback Patagonia Code Promo Patagonia","7425","http://action.metaffiliation.com/suivi.php?mclic=S41D0144DAA151&argsite={{userid}}","4%","4% par achat","merc116",1,4
"Chaussmart","Cashback Chaussmart Code Promo Chaussmart","12697","http://action.metaffiliation.com/suivi.php?mclic=S4319944DAA111&argsite={{userid}}","4%","4% par achat","merc117",1,4
"Univers-Running.com","Cashback Univers-Running.com Code Promo Univers-Running.com","19525","http://action.metaffiliation.com/suivi.php?mclic=S44C4544DAA111&argsite={{userid}}","3.5%","3.5% par achat","merc118",1,3
"Bebloom","Cashback Bebloom Code Promo Bebloom","159","http://action.metaffiliation.com/suivi.php?mclic=S29F44DAA112&argsite={{userid}}","2.25€","2.25€ par achat","merc119",0,2
"Simply market","Cashback Simply market Code Promo Simply market","11455","http://action.metaffiliation.com/suivi.php?mclic=S42CBF44DAA1313&argsite={{userid}}","5€","5€ par achat","merc120",0,5
"Atylia","Cashback Atylia Code Promo Atylia",522,"http://action.metaffiliation.com/suivi.php?mclic=S320A44DAA111&argsite={{userid}}","4%","4% par achat","merc121",1,4
"Rayons loisir","Cashback Rayons loisir Code Promo Rayons loisir","8072","http://action.metaffiliation.com/suivi.php?mclic=S41F8844DAA151&argsite={{userid}}","4%","4% par achat","merc122",1,4
"Laetizia voyance","Cashback Laetizia voyance Code Promo Laetizia voyance","28321","http://action.metaffiliation.com/suivi.php?mclic=S46EA144DAA154&argsite={{userid}}","1€","1€ par achat","merc123",1,1
"Fruitrouge","Cashback Fruitrouge Code Promo Fruitrouge","11403","http://action.metaffiliation.com/suivi.php?mclic=S42C8B44DAA111&argsite={{userid}}","1%","1% par achat","merc124",1,1
"Interhome","Cashback Interhome Code Promo Interhome","19999","http://action.metaffiliation.com/suivi.php?mclic=S44E1F44DAA141&argsite={{userid}}","20€","20€ par achat","merc125",0,20
"Usine 23","Cashback Usine 23 Code Promo Usine 23","3679","http://action.metaffiliation.com/suivi.php?mclic=S3E5F44DAA141&argsite={{userid}}","4%","4% par achat","merc126",1,4
"Sensee","Cashback Sensee Code Promo Sensee","28817","http://action.metaffiliation.com/suivi.php?mclic=S4709144DAA111&argsite={{userid}}","6%","6% par achat","merc127",1,6
"Home 24","Cashback Home 24 Code Promo Home 24","30387","http://action.metaffiliation.com/suivi.php?mclic=S476B344DAA141&argsite={{userid}}","5%","5% par achat","merc128",1,5
"Ruedeshommes.com","Cashback Ruedeshommes.com Code Promo Ruedeshommes.com","5887","http://action.metaffiliation.com/suivi.php?mclic=S416FF44DAA111&argsite={{userid}}","3%","3% par achat","merc129",1,3
"Sensozone","Cashback Sensozone Code Promo Sensozone","5394","http://action.metaffiliation.com/suivi.php?mclic=S4151244DAA122&argsite={{userid}}","5%","5% par achat","merc130",1,5
"Erozone","Cashback Erozone Code Promo Erozone","5391","http://action.metaffiliation.com/suivi.php?mclic=S4150F44DAA121&argsite={{userid}}","5%","5% par achat","merc131",1,5
"Condozone","Cashback Condozone Code Promo Condozone","5390","http://action.metaffiliation.com/suivi.php?mclic=S4150E44DAA113&argsite={{userid}}","5%","5% par achat","merc132",1,5
"Musculationboutique","Cashback Musculationboutique Code Promo Musculationboutique","4375","http://action.metaffiliation.com/suivi.php?mclic=S4111744DAA111&argsite={{userid}}","5%","5% par achat","merc133",1,5
